Starting training:
  Algorithm       : ppo
  Environments    : 4
  Reward mode     : temperature
  Observation     : T04
  Seed            : 42
  Timesteps       : 1000000

=== System Info ===
Hostname              : haicn1702.localdomain
CUDA_VISIBLE_DEVICES : MIG-3ec3a575-8900-5a2d-8b50-60ffc9a8e0d2

=== GPU Info (nvidia-smi) ===
Sun Jun  8 03:53:36 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.133.20             Driver Version: 570.133.20     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:31:00.0 Off |                   On |
| N/A   43C    P0             45W /  400W |     249MiB /  40960MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |                     Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                       BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0    1   0   0  |             142MiB / 20096MiB    | 56      0 |  4   0    2    0    0 |
|                  |                 0MiB / 32767MiB  |           |                       |
+------------------+----------------------------------+-----------+-----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

=== PyTorch CUDA Info ===
CUDA available        : True
Device name (ID 0)    : NVIDIA A100-SXM4-40GB MIG 4g.20gb
CUDA version (torch)  : 12.4
CUDNN version         : 90501
Using cuda device
---------------------------------
| rollout/           |          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 67          |
| time/                   |             |
|    fps                  | 669         |
|    iterations           | 5           |
|    time_elapsed         | 8           |
|    total_timesteps      | 5760        |
| train/                  |             |
|    approx_kl            | 0.009502744 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.337       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.6         |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0158     |
|    std                  | 0.951       |
|    value_loss           | 12.1        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 288        |
|    ep_rew_mean          | 77.3       |
| time/                   |            |
|    fps                  | 662        |
|    iterations           | 6          |
|    time_elapsed         | 10         |
|    total_timesteps      | 6912       |
| train/                  |            |
|    approx_kl            | 0.00828404 |
|    clip_fraction        | 0.0714     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.36      |
|    explained_variance   | -0.175     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.94       |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.00762   |
|    std                  | 0.934      |
|    value_loss           | 12.1       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 85.1         |
| time/                   |              |
|    fps                  | 658          |
|    iterations           | 7            |
|    time_elapsed         | 12           |
|    total_timesteps      | 8064         |
| train/                  |              |
|    approx_kl            | 0.0061880997 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | -0.0331      |
|    learning_rate        | 0.0003       |
|    loss                 | 4.7          |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00415     |
|    std                  | 0.916        |
|    value_loss           | 18.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 91.2        |
| time/                   |             |
|    fps                  | 656         |
|    iterations           | 8           |
|    time_elapsed         | 14          |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.005783028 |
|    clip_fraction        | 0.0448      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | -0.0306     |
|    learning_rate        | 0.0003      |
|    loss                 | 8.23        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00281    |
|    std                  | 0.912       |
|    value_loss           | 18.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 97          |
| time/                   |             |
|    fps                  | 654         |
|    iterations           | 9           |
|    time_elapsed         | 15          |
|    total_timesteps      | 10368       |
| train/                  |             |
|    approx_kl            | 0.007966663 |
|    clip_fraction        | 0.0546      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | -0.0155     |
|    learning_rate        | 0.0003      |
|    loss                 | 11.9        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00624    |
|    std                  | 0.906       |
|    value_loss           | 22.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 102          |
| time/                   |              |
|    fps                  | 653          |
|    iterations           | 10           |
|    time_elapsed         | 17           |
|    total_timesteps      | 11520        |
| train/                  |              |
|    approx_kl            | 0.0050231833 |
|    clip_fraction        | 0.0183       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.00873     |
|    learning_rate        | 0.0003       |
|    loss                 | 20.9         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00107     |
|    std                  | 0.891        |
|    value_loss           | 24.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 106          |
| time/                   |              |
|    fps                  | 651          |
|    iterations           | 11           |
|    time_elapsed         | 19           |
|    total_timesteps      | 12672        |
| train/                  |              |
|    approx_kl            | 0.0044494383 |
|    clip_fraction        | 0.0199       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -0.00447     |
|    learning_rate        | 0.0003       |
|    loss                 | 16.1         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00232     |
|    std                  | 0.889        |
|    value_loss           | 27.2         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 288        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 650        |
|    iterations           | 12         |
|    time_elapsed         | 21         |
|    total_timesteps      | 13824      |
| train/                  |            |
|    approx_kl            | 0.00975355 |
|    clip_fraction        | 0.0928     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.3       |
|    explained_variance   | -0.00348   |
|    learning_rate        | 0.0003     |
|    loss                 | 5.6        |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.00784   |
|    std                  | 0.885      |
|    value_loss           | 30.6       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 112         |
| time/                   |             |
|    fps                  | 649         |
|    iterations           | 13          |
|    time_elapsed         | 23          |
|    total_timesteps      | 14976       |
| train/                  |             |
|    approx_kl            | 0.011711721 |
|    clip_fraction        | 0.0918      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.29       |
|    explained_variance   | -0.00182    |
|    learning_rate        | 0.0003      |
|    loss                 | 15.3        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00573    |
|    std                  | 0.87        |
|    value_loss           | 32.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 115          |
| time/                   |              |
|    fps                  | 648          |
|    iterations           | 14           |
|    time_elapsed         | 24           |
|    total_timesteps      | 16128        |
| train/                  |              |
|    approx_kl            | 0.0034413254 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | -0.00133     |
|    learning_rate        | 0.0003       |
|    loss                 | 12.9         |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00265     |
|    std                  | 0.889        |
|    value_loss           | 33.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 648         |
|    iterations           | 15          |
|    time_elapsed         | 26          |
|    total_timesteps      | 17280       |
| train/                  |             |
|    approx_kl            | 0.003157475 |
|    clip_fraction        | 0.0477      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | -0.000939   |
|    learning_rate        | 0.0003      |
|    loss                 | 35.8        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0034     |
|    std                  | 0.896       |
|    value_loss           | 37.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 119          |
| time/                   |              |
|    fps                  | 647          |
|    iterations           | 16           |
|    time_elapsed         | 28           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0039949277 |
|    clip_fraction        | 0.0276       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000729    |
|    learning_rate        | 0.0003       |
|    loss                 | 20.4         |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00178     |
|    std                  | 0.896        |
|    value_loss           | 37.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 121          |
| time/                   |              |
|    fps                  | 646          |
|    iterations           | 17           |
|    time_elapsed         | 30           |
|    total_timesteps      | 19584        |
| train/                  |              |
|    approx_kl            | 0.0047861263 |
|    clip_fraction        | 0.052        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000531    |
|    learning_rate        | 0.0003       |
|    loss                 | 13.7         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00249     |
|    std                  | 0.904        |
|    value_loss           | 38.3         |
------------------------------------------
Eval num_timesteps=20000, episode_reward=160.63 +/- 8.61
Episode length: 288.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 288          |
|    mean_reward          | 161          |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0013875996 |
|    clip_fraction        | 0.0255       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000461    |
|    learning_rate        | 0.0003       |
|    loss                 | 21.2         |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.0011      |
|    std                  | 0.896        |
|    value_loss           | 39.9         |
------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 288      |
|    ep_rew_mean     | 122      |
| time/              |          |
|    fps             | 604      |
|    iterations      | 18       |
|    time_elapsed    | 34       |
|    total_timesteps | 20736    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 124          |
| time/                   |              |
|    fps                  | 606          |
|    iterations           | 19           |
|    time_elapsed         | 36           |
|    total_timesteps      | 21888        |
| train/                  |              |
|    approx_kl            | 0.0032156224 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000346    |
|    learning_rate        | 0.0003       |
|    loss                 | 23.2         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.000691    |
|    std                  | 0.891        |
|    value_loss           | 40.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 125          |
| time/                   |              |
|    fps                  | 608          |
|    iterations           | 20           |
|    time_elapsed         | 37           |
|    total_timesteps      | 23040        |
| train/                  |              |
|    approx_kl            | 0.0050564366 |
|    clip_fraction        | 0.0354       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -0.000335    |
|    learning_rate        | 0.0003       |
|    loss                 | 16           |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00332     |
|    std                  | 0.895        |
|    value_loss           | 40.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 126         |
| time/                   |             |
|    fps                  | 609         |
|    iterations           | 21          |
|    time_elapsed         | 39          |
|    total_timesteps      | 24192       |
| train/                  |             |
|    approx_kl            | 0.009534882 |
|    clip_fraction        | 0.0612      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | -0.00029    |
|    learning_rate        | 0.0003      |
|    loss                 | 16.3        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.004      |
|    std                  | 0.906       |
|    value_loss           | 41.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 127          |
| time/                   |              |
|    fps                  | 610          |
|    iterations           | 22           |
|    time_elapsed         | 41           |
|    total_timesteps      | 25344        |
| train/                  |              |
|    approx_kl            | 0.0012635658 |
|    clip_fraction        | 0.0404       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | -0.000221    |
|    learning_rate        | 0.0003       |
|    loss                 | 7.09         |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00195     |
|    std                  | 0.896        |
|    value_loss           | 42.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 128          |
| time/                   |              |
|    fps                  | 611          |
|    iterations           | 23           |
|    time_elapsed         | 43           |
|    total_timesteps      | 26496        |
| train/                  |              |
|    approx_kl            | 0.0028222676 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000196    |
|    learning_rate        | 0.0003       |
|    loss                 | 20.5         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00074     |
|    std                  | 0.888        |
|    value_loss           | 43.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 129          |
| time/                   |              |
|    fps                  | 612          |
|    iterations           | 24           |
|    time_elapsed         | 45           |
|    total_timesteps      | 27648        |
| train/                  |              |
|    approx_kl            | 0.0043478254 |
|    clip_fraction        | 0.0387       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000164    |
|    learning_rate        | 0.0003       |
|    loss                 | 41.8         |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00494     |
|    std                  | 0.895        |
|    value_loss           | 42.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 130          |
| time/                   |              |
|    fps                  | 613          |
|    iterations           | 25           |
|    time_elapsed         | 46           |
|    total_timesteps      | 28800        |
| train/                  |              |
|    approx_kl            | 0.0045234878 |
|    clip_fraction        | 0.0495       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -0.000124    |
|    learning_rate        | 0.0003       |
|    loss                 | 19.4         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00188     |
|    std                  | 0.89         |
|    value_loss           | 44.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 136         |
| time/                   |             |
|    fps                  | 614         |
|    iterations           | 26          |
|    time_elapsed         | 48          |
|    total_timesteps      | 29952       |
| train/                  |             |
|    approx_kl            | 0.002419033 |
|    clip_fraction        | 0.051       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | -0.000121   |
|    learning_rate        | 0.0003      |
|    loss                 | 16.9        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00158    |
|    std                  | 0.895       |
|    value_loss           | 44.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 140          |
| time/                   |              |
|    fps                  | 615          |
|    iterations           | 27           |
|    time_elapsed         | 50           |
|    total_timesteps      | 31104        |
| train/                  |              |
|    approx_kl            | 0.0038013393 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -0.000106    |
|    learning_rate        | 0.0003       |
|    loss                 | 28.1         |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00149     |
|    std                  | 0.896        |
|    value_loss           | 44.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 143          |
| time/                   |              |
|    fps                  | 616          |
|    iterations           | 28           |
|    time_elapsed         | 52           |
|    total_timesteps      | 32256        |
| train/                  |              |
|    approx_kl            | 0.0061044837 |
|    clip_fraction        | 0.083        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -8.74e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 50           |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00401     |
|    std                  | 0.881        |
|    value_loss           | 45.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 146         |
| time/                   |             |
|    fps                  | 616         |
|    iterations           | 29          |
|    time_elapsed         | 54          |
|    total_timesteps      | 33408       |
| train/                  |             |
|    approx_kl            | 0.005324972 |
|    clip_fraction        | 0.0339      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.29       |
|    explained_variance   | -8.06e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 29.9        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00293    |
|    std                  | 0.876       |
|    value_loss           | 44.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 147          |
| time/                   |              |
|    fps                  | 617          |
|    iterations           | 30           |
|    time_elapsed         | 55           |
|    total_timesteps      | 34560        |
| train/                  |              |
|    approx_kl            | 0.0050526178 |
|    clip_fraction        | 0.0429       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | -6.27e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 31.8         |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00273     |
|    std                  | 0.879        |
|    value_loss           | 45.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 148          |
| time/                   |              |
|    fps                  | 618          |
|    iterations           | 31           |
|    time_elapsed         | 57           |
|    total_timesteps      | 35712        |
| train/                  |              |
|    approx_kl            | 0.0030984054 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | -5.88e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 35.6         |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.000532    |
|    std                  | 0.879        |
|    value_loss           | 44.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 149          |
| time/                   |              |
|    fps                  | 618          |
|    iterations           | 32           |
|    time_elapsed         | 59           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0058142156 |
|    clip_fraction        | 0.0495       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | -5.57e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 21.3         |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00249     |
|    std                  | 0.882        |
|    value_loss           | 45.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 150         |
| time/                   |             |
|    fps                  | 619         |
|    iterations           | 33          |
|    time_elapsed         | 61          |
|    total_timesteps      | 38016       |
| train/                  |             |
|    approx_kl            | 0.005553187 |
|    clip_fraction        | 0.0558      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | -4.9e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 28.2        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00472    |
|    std                  | 0.894       |
|    value_loss           | 44.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 150         |
| time/                   |             |
|    fps                  | 619         |
|    iterations           | 34          |
|    time_elapsed         | 63          |
|    total_timesteps      | 39168       |
| train/                  |             |
|    approx_kl            | 0.007981727 |
|    clip_fraction        | 0.074       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | -4.42e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 27.7        |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00622    |
|    std                  | 0.884       |
|    value_loss           | 46          |
-----------------------------------------
Eval num_timesteps=40000, episode_reward=234.20 +/- 12.12
Episode length: 288.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 288          |
|    mean_reward          | 234          |
| time/                   |              |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0045847315 |
|    clip_fraction        | 0.0199       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -4.04e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 26.8         |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.000618    |
|    std                  | 0.896        |
|    value_loss           | 45.2         |
------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 288      |
|    ep_rew_mean     | 151      |
| time/              |          |
|    fps             | 597      |
|    iterations      | 35       |
|    time_elapsed    | 67       |
|    total_timesteps | 40320    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 151          |
| time/                   |              |
|    fps                  | 598          |
|    iterations           | 36           |
|    time_elapsed         | 69           |
|    total_timesteps      | 41472        |
| train/                  |              |
|    approx_kl            | 0.0030811306 |
|    clip_fraction        | 0.0155       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | -3.47e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 33.8         |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.000218    |
|    std                  | 0.892        |
|    value_loss           | 47.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 151          |
| time/                   |              |
|    fps                  | 599          |
|    iterations           | 37           |
|    time_elapsed         | 71           |
|    total_timesteps      | 42624        |
| train/                  |              |
|    approx_kl            | 0.0035620753 |
|    clip_fraction        | 0.0321       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | -3.16e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 27.2         |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00275     |
|    std                  | 0.886        |
|    value_loss           | 45.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 152         |
| time/                   |             |
|    fps                  | 600         |
|    iterations           | 38          |
|    time_elapsed         | 72          |
|    total_timesteps      | 43776       |
| train/                  |             |
|    approx_kl            | 0.002797416 |
|    clip_fraction        | 0.0446      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | -2.66e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 43.8        |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00223    |
|    std                  | 0.902       |
|    value_loss           | 45.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 152          |
| time/                   |              |
|    fps                  | 601          |
|    iterations           | 39           |
